epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.636,1.87244,1.9743,1.5476,0.7051,0.42089,0.48774,0.24168,1.80005,1.98101,1.52547,0.00033282,0.00033282,0.0670508
2,399.624,1.78766,1.55584,1.49323,0.7008,0.5833,0.63163,0.27178,1.89817,1.53763,1.57112,0.00066604,0.00066604,0.0340507
3,590.195,1.74073,1.45166,1.47936,0.79834,0.5428,0.66219,0.34807,1.70517,1.42758,1.50075,0.000998808,0.000998808,0.00105017
4,783.025,1.69925,1.3524,1.43853,0.80931,0.6772,0.75168,0.39897,1.63412,1.12758,1.43651,0.000998474,0.000998474,0.000998474
5,976.673,1.67754,1.28625,1.42801,0.80863,0.64058,0.71932,0.37143,1.66992,1.17914,1.44161,0.000997288,0.000997288,0.000997288
6,1172.19,1.64568,1.20378,1.40278,0.76261,0.71391,0.77916,0.41976,1.59594,1.022,1.39299,0.000995765,0.000995765,0.000995765
7,1364.46,1.63469,1.18694,1.39253,0.8175,0.72517,0.78427,0.40325,1.6601,0.99886,1.39848,0.000993906,0.000993906,0.000993906
8,1553.84,1.6121,1.14339,1.37836,0.84091,0.73143,0.80289,0.43531,1.58932,0.99308,1.37902,0.000991711,0.000991711,0.000991711
9,1743.89,1.60043,1.12294,1.36934,0.82946,0.74287,0.80854,0.42877,1.58637,0.96978,1.36159,0.000989183,0.000989183,0.000989183
10,1933.85,1.57983,1.09294,1.35722,0.83835,0.75986,0.83022,0.4413,1.58854,0.93519,1.37257,0.000986323,0.000986323,0.000986323
11,2123.92,1.56774,1.05971,1.34687,0.83407,0.74863,0.82643,0.44344,1.56798,0.9155,1.36607,0.000983133,0.000983133,0.000983133
12,2313.65,1.56772,1.03937,1.33969,0.84474,0.77986,0.84345,0.45235,1.55754,0.85779,1.35106,0.000979616,0.000979616,0.000979616
13,2505,1.55746,1.03588,1.34614,0.85629,0.75973,0.83625,0.44677,1.57615,0.9159,1.36757,0.000975773,0.000975773,0.000975773
14,2696.29,1.53885,1.02013,1.33266,0.85227,0.76699,0.83387,0.4408,1.61461,0.89841,1.37278,0.000971608,0.000971608,0.000971608
15,2888.99,1.53102,0.99966,1.32143,0.8483,0.76649,0.84167,0.45539,1.55815,0.85202,1.33945,0.000967122,0.000967122,0.000967122
16,3077.81,1.51529,0.97996,1.3164,0.85103,0.80327,0.85986,0.47238,1.52473,0.81178,1.33118,0.00096232,0.00096232,0.00096232
17,3269.96,1.52098,0.97056,1.31255,0.84915,0.79531,0.8589,0.47722,1.5157,0.83992,1.33818,0.000957205,0.000957205,0.000957205
18,3457.73,1.49892,0.95897,1.30934,0.84256,0.79468,0.85655,0.47667,1.51963,0.82517,1.33938,0.00095178,0.00095178,0.00095178
19,3644.35,1.48932,0.93893,1.30158,0.85745,0.80598,0.86768,0.48184,1.49925,0.80783,1.33225,0.000946048,0.000946048,0.000946048
20,3832.12,1.48843,0.92825,1.29791,0.85415,0.80498,0.86988,0.47747,1.52308,0.79112,1.34323,0.000940014,0.000940014,0.000940014
21,4018.59,1.47863,0.92003,1.2941,0.85179,0.80779,0.86688,0.46876,1.54853,0.787,1.34287,0.000933683,0.000933683,0.000933683
22,4205.66,1.47386,0.90089,1.28354,0.8442,0.833,0.87707,0.47828,1.52744,0.79521,1.33543,0.000927057,0.000927057,0.000927057
