epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.033,1.63851,3.20234,1.80566,0.37606,0.14695,0.11103,0.03858,2.37018,3.54074,2.65421,0.000332861,0.000332861,0.0670467
2,696.377,1.64106,2.61319,1.79554,0.35864,0.22882,0.16694,0.07181,1.93019,3.46229,2.16637,0.000666122,0.000666122,0.0340467
3,1028.58,1.63469,2.49128,1.78864,0.39641,0.31493,0.28953,0.12174,1.94086,2.34107,2.171,0.000999094,0.000999094,0.00104631
4,1363.18,1.60391,2.34827,1.764,0.40004,0.37485,0.33491,0.14703,1.89332,2.29185,2.13155,0.000999023,0.000999023,0.000999023
5,1694.3,1.56504,2.19951,1.72257,0.38936,0.3908,0.35332,0.16005,1.8395,2.19898,2.1066,0.000998264,0.000998264,0.000998264
6,2023.74,1.53871,2.11942,1.70378,0.45468,0.42368,0.40389,0.18855,1.79013,1.95217,2.007,0.000997288,0.000997288,0.000997288
7,2355.31,1.49645,2.0181,1.68554,0.58492,0.41066,0.44298,0.22279,1.67107,1.77637,1.92598,0.000996097,0.000996097,0.000996097
8,2688.19,1.49609,1.95326,1.65687,0.63105,0.44032,0.47912,0.23635,1.7332,1.71473,1.9609,0.00099469,0.00099469,0.00099469
9,3016.45,1.4806,1.89815,1.6481,0.52912,0.44433,0.46592,0.23902,1.64914,1.70121,1.87156,0.000993068,0.000993068,0.000993068
10,3344.32,1.46429,1.84528,1.63973,0.61427,0.49221,0.53213,0.27331,1.62602,1.54356,1.84879,0.000991232,0.000991232,0.000991232
11,3672.43,1.4585,1.79803,1.63026,0.59623,0.49842,0.51419,0.27462,1.61353,1.59498,1.85335,0.000989183,0.000989183,0.000989183
12,4001.95,1.43686,1.74635,1.61187,0.6076,0.53501,0.56376,0.29713,1.60586,1.4411,1.83636,0.000986922,0.000986922,0.000986922
13,4328.35,1.43865,1.71437,1.61254,0.57015,0.57752,0.57824,0.31138,1.56259,1.39375,1.79285,0.000984449,0.000984449,0.000984449
14,4655.45,1.41178,1.68161,1.59404,0.57676,0.5563,0.56993,0.30751,1.57241,1.37249,1.80291,0.000981765,0.000981765,0.000981765
15,4981.53,1.40393,1.6559,1.58903,0.60071,0.58484,0.58472,0.31699,1.56422,1.31073,1.79825,0.000978873,0.000978873,0.000978873
16,5310.53,1.40885,1.63496,1.59234,0.65684,0.53054,0.59229,0.31414,1.56032,1.34989,1.78344,0.000975773,0.000975773,0.000975773
17,5636.74,1.39841,1.60546,1.57772,0.68565,0.57556,0.61339,0.32968,1.53133,1.27471,1.76484,0.000972466,0.000972466,0.000972466
18,5968.57,1.38988,1.58393,1.57267,0.67106,0.60019,0.62417,0.34148,1.5189,1.24073,1.76174,0.000968955,0.000968955,0.000968955
19,6299.36,1.38141,1.57198,1.57062,0.69756,0.60724,0.63669,0.35991,1.50498,1.22711,1.74377,0.000965239,0.000965239,0.000965239
20,6623.18,1.38634,1.53435,1.56721,0.58837,0.62887,0.62372,0.35232,1.50041,1.20153,1.73501,0.000961322,0.000961322,0.000961322
21,6947.94,1.36832,1.51,1.55428,0.66681,0.62556,0.65328,0.36552,1.49589,1.17661,1.72444,0.000957205,0.000957205,0.000957205
22,7273.93,1.35798,1.50449,1.54994,0.7151,0.62232,0.66166,0.37261,1.46378,1.16024,1.69933,0.000952889,0.000952889,0.000952889
23,7599.2,1.3588,1.48131,1.54817,0.70283,0.64678,0.66989,0.37866,1.47114,1.14849,1.70967,0.000948377,0.000948377,0.000948377
24,7926.98,1.34821,1.46236,1.54192,0.70938,0.62075,0.67088,0.37566,1.45723,1.12969,1.6972,0.000943671,0.000943671,0.000943671
25,8254.57,1.34785,1.44493,1.54259,0.72871,0.64007,0.67777,0.38044,1.46281,1.12037,1.69305,0.000938772,0.000938772,0.000938772
26,8584.83,1.34241,1.43311,1.53105,0.71326,0.67098,0.68039,0.39074,1.45256,1.1043,1.68557,0.000933683,0.000933683,0.000933683
27,8910.7,1.33007,1.42757,1.52906,0.70667,0.63346,0.67303,0.38806,1.44256,1.10034,1.67542,0.000928405,0.000928405,0.000928405
28,9268.55,1.33271,1.40783,1.52759,0.7369,0.63889,0.68663,0.39212,1.44013,1.08706,1.67353,0.000922942,0.000922942,0.000922942
29,9626.76,1.32957,1.39423,1.51845,0.72813,0.63042,0.68415,0.39299,1.44412,1.08482,1.67825,0.000917296,0.000917296,0.000917296
30,9969.91,1.33045,1.38034,1.51684,0.73068,0.6689,0.70586,0.40021,1.42588,1.0669,1.66858,0.000911469,0.000911469,0.000911469
31,10337.5,1.3213,1.38006,1.52148,0.74964,0.65919,0.69597,0.3985,1.42315,1.06789,1.6672,0.000905463,0.000905463,0.000905463
32,10699.5,1.31631,1.35783,1.51519,0.73168,0.68763,0.69864,0.40286,1.42175,1.05984,1.66495,0.000899282,0.000899282,0.000899282
33,11051.8,1.30916,1.33161,1.50409,0.73752,0.67408,0.69706,0.4004,1.42316,1.0499,1.66231,0.000892928,0.000892928,0.000892928
